0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:01:10 +0800] "GET /ordering_system/misc/uploadify.swf?preventswfcaching=1473321670341 HTTP/1.1" 200 12675
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:01:10 +0800] "GET /ordering_system/img/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:01:10 +0800] "GET /ordering_system/misc/uploadify.swf?preventswfcaching=1473321670341 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:01:10 +0800] "GET /ordering_system/img/favicon.ico HTTP/1.1" 200 7998
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/addProductSalesattr.jsp HTTP/1.1" 200 20089
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/bootstrap-cerulean.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/charisma-app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/fullcalendar/dist/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/chosen/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/colorbox/example3/colorbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/bootstrap-tour/build/css/bootstrap-tour.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/responsive-tables/responsive-tables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/jquery.noty.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/elfinder.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/noty_theme_default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/elfinder.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/uploadify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/jquery.iphone.toggle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/fullcalendar/dist/fullcalendar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/chosen/chosen.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/moment/min/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/colorbox/jquery.colorbox-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/js/jquery.noty.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/fullcalendar/dist/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/responsive-tables/responsive-tables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2016:16:04:53 +0800] "GET /ordering_system/bower_components/bootstrap-tour/build/js/bootstrap-tour.min.js HTTP/1.1" 304 -
